<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.04.26	1178.866	1214.997	1170.069	1178.224	360161	0	0
2015.05.03	1178.171	1199.736	1177.611	1187.986	296194	0	0
2015.05.10	1188.746	1227.031	1178.854	1223.911	364844	0	0
2015.05.17	1225.165	1232.227	1201.452	1205.767	278689	0	0
2015.05.24	1204.983	1209.094	1180.360	1190.302	250359	0	0
2015.05.31	1193.505	1204.168	1162.671	1171.494	338669	0	0
2015.06.07	1170.944	1192.171	1169.497	1181.321	310604	0	0
2015.06.14	1183.635	1205.573	1172.737	1199.837	275578	0	0
2015.06.21	1198.476	1199.916	1168.761	1174.609	169522	0	0
2015.06.28	1185.046	1187.299	1156.976	1168.528	295894	0	0
2015.07.05	1174.345	1174.345	1147.132	1163.170	439331	0	0
2015.07.12	1162.899	1164.111	1131.088	1134.344	352253	0	0
2015.07.19	1131.787	1132.828	1077.035	1098.873	452179	0	0
2015.07.26	1097.191	1104.891	1079.928	1095.192	477691	0	0
2015.08.02	1094.678	1099.408	1080.935	1093.926	428287	0	0
2015.08.09	1093.068	1126.468	1089.633	1114.750	424667	0	0
2015.08.16	1114.347	1168.079	1109.468	1159.948	434287	0	0
2015.08.23	1161.588	1169.820	1117.672	1133.358	564679	0	0
2015.08.30	1132.589	1147.685	1116.425	1121.936	406794	0	0
2015.09.06	1122.396	1126.592	1098.676	1107.348	352569	0	0
2015.09.13	1106.728	1141.579	1102.467	1138.473	390012	0	0
2015.09.20	1137.620	1156.568	1121.261	1145.770	396071	0	0
2015.09.27	1146.317	1148.079	1104.518	1137.928	393611	0	0
2015.10.04	1137.037	1159.558	1130.052	1155.392	466831	0	0
2015.10.11	1155.275	1191.352	1151.781	1176.624	496362	0	0
2015.10.18	1175.687	1180.527	1158.860	1164.248	448609	0	0
2015.10.25	1163.540	1182.804	1139.022	1141.800	363346	0	0
2015.11.01	1141.734	1142.837	1085.382	1087.548	464087	0	0
2015.11.08	1089.728	1095.582	1074.039	1081.866	484259	0	0
2015.11.15	1089.638	1097.928	1064.144	1077.067	381540	0	0
2015.11.22	1077.020	1080.944	1052.597	1057.395	413232	0	0
2015.11.29	1056.825	1088.690	1046.247	1086.763	583511	0	0
2015.12.06	1086.192	1086.491	1062.323	1077.054	449784	0	0
2015.12.13	1075.026	1078.206	1047.593	1066.103	492808	0	0
2015.12.20	1065.888	1081.589	1063.783	1076.181	335175	0	0
2015.12.27	1075.916	1076.856	1057.879	1060.965	222074	0	0
2016.01.03	1061.955	1112.866	1061.692	1103.908	550173	0	0
2016.01.10	1103.761	1108.300	1071.340	1087.933	574835	0	0
2016.01.17	1089.391	1109.512	1082.486	1097.546	625999	0	0
2016.01.24	1097.285	1127.933	1097.135	1117.593	494678	0	0
2016.01.31	1117.575	1174.362	1115.272	1174.009	453108	0	0
2016.02.07	1173.366	1263.254	1164.179	1237.770	527272	0	0
2016.02.14	1231.077	1239.627	1190.745	1228.843	537675	0	0
2016.02.21	1225.047	1252.990	1201.853	1224.221	646353	0	0
2016.02.28	1223.222	1279.607	1215.496	1260.740	706408	0	0
2016.03.06	1260.226	1283.454	1236.989	1249.174	613557	0	0
2016.03.13	1250.808	1270.768	1225.529	1254.899	536195	0	0
2016.03.20	1255.077	1259.614	1212.121	1216.826	413214	0	0
2016.03.27	1214.006	1243.854	1205.978	1221.495	569802	0	0
2016.04.03	1219.937	1243.072	1214.476	1238.997	565934	0	0
2016.04.10	1244.914	1262.434	1223.759	1233.383	523501	0	0
2016.04.17	1235.775	1270.053	1227.339	1231.716	575990	0	0
2016.04.24	1231.514	1296.518	1229.936	1292.678	568973	0	0
2016.05.01	1292.365	1303.586	1268.751	1286.968	564357	0	0
2016.05.08	1286.769	1287.405	1256.786	1273.064	491497	0	0
2016.05.15	1272.580	1288.529	1243.766	1251.574	520919	0	0
2016.05.22	1251.680	1255.886	1206.706	1212.266	537267	0	0
2016.05.29	1208.972	1244.591	1199.566	1243.730	453081	0	0
2016.06.05	1244.450	1278.027	1234.727	1273.736	415981	0	0
2016.06.12	1276.550	1315.429	1272.350	1298.037	429669	0	0
2016.06.19	1293.845	1358.069	1250.359	1315.407	578493	0	0
2016.06.26	1322.688	1344.314	1305.332	1340.675	472951	0	0
2016.07.03	1341.568	1374.993	1335.366	1365.920	681872	0	0
2016.07.10	1372.620	1372.760	1320.116	1336.795	488131	0	0
2016.07.17	1330.510	1337.034	1310.551	1321.794	366704	0	0
2016.07.24	1321.038	1354.815	1311.947	1350.720	328540	0	0
2016.07.31	1350.739	1367.070	1334.558	1335.196	360982	0	0
2016.08.07	1332.928	1357.048	1329.774	1335.298	368480	0	0
2016.08.14	1337.168	1357.892	1335.654	1340.980	389341	0	0
2016.08.21	1338.539	1344.486	1317.952	1320.627	346968	0	0
2016.08.28	1319.637	1329.778	1302.388	1324.674	390890	0	0
2016.09.04	1324.728	1352.408	1321.696	1327.497	359696	0	0
2016.09.11	1328.609	1331.842	1306.158	1309.835	404064	0	0
2016.09.18	1309.789	1343.494	1307.516	1337.129	328681	0	0
2016.09.25	1336.639	1341.928	1313.092	1315.103	364213	0	0
2016.10.02	1317.160	1319.453	1241.320	1255.954	387083	0	0
2016.10.09	1257.379	1264.785	1246.075	1250.476	333369	0	0
2016.10.16	1251.249	1274.199	1250.092	1265.909	290366	0	0
2016.10.23	1265.952	1283.973	1260.118	1274.656	315643	0	0
2016.10.30	1277.969	1307.811	1271.143	1303.780	366025	0	0
2016.11.06	1292.768	1337.126	1218.888	1227.492	579751	0	0
2016.11.13	1227.984	1232.852	1202.785	1207.958	481753	0	0
2016.11.20	1207.419	1220.851	1170.713	1183.811	373548	0	0
2016.11.27	1183.589	1197.418	1160.603	1176.504	433248	0	0
2016.12.04	1176.164	1187.832	1156.187	1159.060	390255	0	0
2016.12.11	1158.439	1165.511	1122.548	1134.153	404405	0	0
2016.12.18	1133.819	1142.137	1125.657	1132.497	305859	0	0
2016.12.25	1133.199	1162.980	1131.563	1150.787	204378	0	0
2017.01.01	1150.029	1184.776	1145.948	1172.189	297281	0	0
2017.01.08	1172.949	1206.807	1171.646	1196.785	359472	0	0
2017.01.15	1196.709	1218.650	1195.713	1209.318	354216	0	0
2017.01.22	1209.389	1219.775	1180.360	1190.228	358261	0	0
2017.01.29	1190.079	1225.079	1188.120	1219.586	382861	0	0
2017.02.05	1218.230	1244.544	1218.230	1233.013	403191	0	0
2017.02.12	1232.629	1243.695	1216.646	1233.950	391496	0	0
2017.02.19	1234.490	1260.086	1226.008	1256.607	390052	0	0
2017.02.26	1257.670	1263.771	1222.909	1234.245	535903	0	0
2017.03.05	1233.045	1236.735	1194.976	1204.032	412767	0	0
2017.03.12	1204.385	1233.506	1197.332	1228.700	404187	0	0
2017.03.19	1229.045	1253.118	1226.864	1242.324	397565	0	0
2017.03.26	1245.450	1260.968	1239.627	1248.434	376781	0	0
2017.04.02	1249.381	1270.404	1243.716	1253.894	397545	0	0
2017.04.09	1253.950	1288.551	1246.897	1287.183	338319	0	0
2017.04.16	1290.281	1295.426	1273.723	1284.454	422553	0	0
2017.04.23	1275.735	1278.085	1259.681	1267.334	427103	0	0
2017.04.30	1268.150	1271.080	1225.586	1226.986	372357	0	0
2017.05.07	1234.592	1236.475	1214.228	1227.673	375568	0	173
2017.05.14	1229.691	1264.947	1226.984	1255.172	427809	0	166
2017.05.21	1256.945	1269.423	1247.888	1266.578	389816	0	160
2017.05.28	1268.008	1279.389	1258.986	1278.497	321399	0	150
2017.06.04	1279.761	1295.975	1264.520	1266.313	389654	0	156
2017.06.11	1267.647	1280.408	1251.403	1253.344	389860	0	150
2017.06.18	1254.641	1258.769	1240.876	1256.265	378529	0	150
2017.06.25	1257.289	1257.389	1234.913	1240.660	410520	0	150
2017.07.02	1241.610	1241.990	1207.289	1212.436	376926	0	156
2017.07.09	1213.129	1232.736	1204.698	1228.535	375261	0	160
2017.07.16	1230.737	1255.652	1229.333	1254.783	376351	0	170
2017.07.23	1256.156	1270.793	1243.710	1268.970	411315	0	150
2017.07.30	1270.192	1274.058	1254.153	1258.206	396266	0	150
2017.08.06	1257.325	1291.876	1251.407	1288.449	402583	0	163
2017.08.13	1288.817	1300.739	1267.167	1283.760	419608	0	150
2017.08.20	1283.366	1294.539	1276.587	1290.708	397430	0	160
2017.08.27	1292.440	1328.737	1291.817	1323.917	432367	0	150
2017.09.03	1336.129	1357.412	1325.956	1346.190	427112	0	150
2017.09.10	1337.527	1338.966	1315.328	1319.839	421682	0	157
2017.09.17	1316.163	1319.583	1288.045	1297.117	409205	0	180
2017.09.24	1291.867	1313.511	1275.270	1279.153	429074	0	180
2017.10.01	1277.757	1282.176	1260.595	1276.258	395903	0	150
2017.10.08	1276.473	1303.739	1275.247	1303.521	408625	0	150
2017.10.15	1304.124	1305.994	1276.306	1279.944	429073	0	150
2017.10.22	1274.778	1283.602	1263.360	1273.811	437340	0	150
2017.10.29	1272.554	1284.039	1265.391	1269.712	416071	0	150
2017.11.05	1270.501	1288.439	1266.031	1275.150	446720	0	150
2017.11.12	1275.223	1296.830	1269.824	1293.840	433358	0	150
2017.11.19	1293.464	1294.621	1274.297	1288.371	387375	0	150
2017.11.26	1287.427	1299.133	1270.367	1279.889	458325	0	150
2017.12.03	1273.830	1277.067	1243.205	1248.137	453030	0	150
2017.12.10	1248.601	1261.769	1236.445	1254.982	433676	0	150
2017.12.17	1253.823	1276.087	1252.727	1274.762	377127	0	150
2017.12.24	1278.706	1307.502	1277.026	1302.632	266282	0	150
2017.12.31	1307.421	1325.917	1305.757	1319.231	320022	0	150
2018.01.07	1319.525	1339.288	1308.080	1337.542	427239	0	150
2018.01.14	1336.878	1344.658	1324.145	1331.642	448583	0	150
2018.01.21	1333.800	1366.009	1328.350	1349.819	476808	0	150
2018.01.28	1349.640	1352.350	1327.434	1332.879	305681	0	150
2018.02.04	1331.760	1345.996	1307.040	1315.932	542677	0	150
2018.02.11	1314.950	1361.690	1314.145	1347.061	469321	0	150
2018.02.18	1347.250	1351.310	1320.924	1328.601	418792	0	150
2018.02.25	1328.200	1340.980	1302.773	1322.358	470627	0	150
2018.03.04	1323.682	1340.406	1312.780	1323.245	494898	0	150
2018.03.11	1322.700	1329.987	1309.655	1313.712	385403	0	150
2018.03.18	1313.130	1350.166	1307.165	1346.981	400387	0	150
2018.03.25	1350.100	1356.789	1321.220	1325.100	331388	0	150
2018.04.01	1326.210	1348.148	1319.548	1333.108	411045	0	150
2018.04.08	1333.650	1365.089	1326.836	1345.245	418458	0	150
2018.04.15	1342.258	1355.631	1334.954	1335.145	387397	0	150
2018.04.22	1332.970	1335.374	1315.229	1323.296	363430	0	150
2018.04.29	1322.900	1324.868	1301.765	1314.821	356731	0	150
2018.05.06	1314.960	1325.873	1304.095	1318.125	365569	0	150
2018.05.13	1318.810	1322.273	1284.745	1292.962	354501	0	150
2018.05.20	1290.560	1307.716	1282.056	1301.264	374692	0	150
2018.05.27	1297.480	1306.474	1289.318	1292.928	386589	0	150
2018.06.03	1293.330	1303.054	1289.850	1298.456	349545	0	150
2018.06.10	1298.637	1309.231	1275.390	1279.602	362042	0	150
2018.06.17	1279.739	1284.015	1261.332	1269.088	364622	0	150
2018.06.24	1271.095	1272.531	1245.910	1252.533	400143	0	150
2018.07.01	1253.020	1261.034	1237.914	1254.736	363880	0	150
2018.07.08	1255.830	1265.847	1236.388	1241.512	372263	0	150
2018.07.15	1241.630	1245.518	1211.435	1231.498	376473	0	150
2018.07.22	1231.819	1235.133	1217.538	1222.619	380318	0	150
2018.07.29	1223.091	1228.450	1204.451	1213.262	348057	0	150
2018.08.05	1213.690	1217.817	1205.726	1211.004	344070	0	150
2018.08.12	1212.460	1213.801	1160.182	1184.730	404598	0	150
2018.08.19	1183.230	1208.517	1182.868	1205.638	365614	0	150
2018.08.26	1206.470	1214.240	1196.244	1200.848	358280	0	150
2018.09.02	1199.640	1206.918	1189.626	1195.623	348993	0	150
2018.09.09	1195.010	1212.615	1187.715	1193.235	357577	0	150
2018.09.16	1194.160	1211.006	1191.846	1199.512	370451	0	150
2018.09.23	1197.695	1204.111	1180.744	1191.768	358200	0	150
2018.09.30	1191.410	1208.216	1184.552	1202.678	387455	0	150
2018.10.07	1203.120	1226.272	1182.418	1217.801	384364	0	150
2018.10.14	1218.857	1233.204	1218.669	1226.292	282416	0	190
2018.10.21	1228.066	1243.354	1220.088	1233.594	297026	0	195
2018.10.28	1233.097	1237.330	1211.958	1232.876	327024	0	150
2018.11.04	1233.117	1236.346	1206.739	1209.584	300525	0	160
2018.11.11	1209.544	1225.238	1196.294	1221.559	306136	0	191
2018.11.18	1221.955	1230.015	1218.009	1222.983	250982	0	180
2018.11.25	1223.581	1228.931	1211.169	1222.016	267871	0	204
2018.12.02	1223.023	1249.978	1221.280	1248.211	286205	0	195
2018.12.09	1250.188	1250.477	1232.889	1238.244	278098	0	212
2018.12.16	1237.299	1266.419	1235.793	1255.655	296673	0	197
2018.12.23	1258.600	1282.053	1257.980	1280.724	233863	0	225
2018.12.30	1280.074	1298.467	1276.643	1284.718	240189	0	217
2019.01.06	1285.549	1297.004	1279.375	1287.468	296878	0	198
2019.01.13	1288.078	1295.802	1280.615	1281.482	281707	0	192
2019.01.20	1282.538	1303.585	1276.770	1303.105	253055	0	182
2019.01.27	1302.403	1326.176	1297.679	1317.652	276758	0	219
2019.02.03	1317.638	1317.886	1302.797	1313.957	259514	0	196
2019.02.10	1313.520	1322.507	1302.365	1321.083	270822	0	178
2019.02.17	1320.975	1346.657	1320.583	1327.794	269676	0	214
2019.02.24	1327.607	1332.513	1290.161	1293.279	280088	0	191
2019.03.03	1295.386	1300.681	1280.832	1298.274	284351	0	198
2019.03.10	1296.869	1311.195	1290.453	1302.208	251088	0	223
2019.03.17	1302.109	1320.305	1298.185	1313.223	264026	0	219
2019.03.24	1313.470	1324.425	1286.575	1292.057	272838	0	217
2019.03.31	1292.237	1296.942	1280.894	1291.374	249551	0	198
2019.04.07	1292.246	1310.529	1289.673	1290.433	241445	0	215
2019.04.14	1291.299	1291.907	1271.069	1275.593	192605	0	0
2019.04.21	1276.818	1288.629	1266.285	1285.879	222028	0	214
2019.04.28	1285.979	1287.164	1266.240	1278.982	231201	0	213
2019.05.05	1282.584	1291.395	1276.985	1285.684	261167	0	226
2019.05.12	1287.211	1303.240	1274.870	1277.647	239760	0	230
2019.05.19	1278.353	1287.194	1269.472	1284.805	222199	0	229
2019.05.26	1285.418	1306.834	1274.984	1305.484	229819	0	230
2019.06.02	1306.676	1348.180	1306.440	1340.699	287913	0	236
2019.06.09	1334.655	1358.042	1319.857	1341.217	270564	0	239
2019.06.16	1341.811	1411.560	1332.970	1399.452	342280	0	242
2019.06.23	1400.407	1439.001	1398.530	1409.677	375401	0	254
2019.06.30	1392.789	1437.668	1381.774	1398.739	338414	0	260
2019.07.07	1399.279	1427.032	1385.732	1415.346	315075	0	260
2019.07.14	1416.621	1452.884	1400.082	1425.402	321109	0	260
2019.07.21	1426.629	1433.723	1411.072	1418.343	283254	0	260
2019.07.28	1420.739	1447.895	1400.490	1440.772	312554	0	260
2019.08.04	1440.304	1510.312	1436.728	1497.137	387300	0	260
2019.08.11	1496.193	1534.920	1479.833	1512.967	392803	0	260
2019.08.18	1509.674	1530.178	1492.448	1526.632	275487	0	260
2019.08.25	1546.310	1554.998	1517.002	1520.228	334792	0	260
2019.09.01	1529.614	1556.943	1502.426	1506.738	327723	0	260
2019.09.08	1505.025	1524.109	1484.457	1488.691	318723	0	260
2019.09.15	1500.527	1516.923	1483.001	1516.302	320029	0	260
2019.09.22	1512.952	1535.578	1486.852	1496.761	344086	0	260
2019.09.29	1496.467	1519.490	1459.052	1504.414	371270	0	260
2019.10.06	1508.319	1516.982	1473.972	1488.118	361078	0	260
2019.10.13	1486.820	1498.345	1477.010	1490.403	290908	0	260
2019.10.20	1491.988	1517.861	1480.846	1504.378	265462	0	260
2019.10.27	1502.711	1515.894	1481.144	1514.124	280869	0	260
2019.11.03	1512.838	1514.707	1456.200	1458.943	296171	0	260
2019.11.10	1460.307	1474.549	1445.578	1467.719	282874	0	260
2019.11.17	1467.963	1478.743	1456.334	1461.986	287429	0	260
2019.11.24	1460.590	1466.444	1449.895	1463.914	222321	0	260
2019.12.01	1462.603	1483.956	1453.917	1459.856	287675	0	260
2019.12.08	1458.717	1486.641	1458.710	1475.616	275891	0	260
2019.12.15	1474.939	1481.614	1470.436	1477.897	228956	0	260
2019.12.22	1477.946	1515.222	1477.448	1510.913	163042	0	260
2019.12.29	1511.309	1553.419	1510.741	1551.883	202166	0	260
2020.01.05	1577.360	1611.365	1540.211	1561.958	383191	0	260
2020.01.12	1559.741	1561.156	1535.834	1557.330	287367	0	260
2020.01.19	1558.947	1575.728	1546.314	1571.333	266054	0	260
2020.01.26	1581.234	1590.317	1563.318	1588.804	309248	0	260
2020.02.02	1588.544	1592.017	1547.479	1570.145	302377	0	260
2020.02.09	1569.258	1584.899	1561.820	1583.991	259236	0	260
2020.02.16	1581.444	1649.102	1578.824	1643.319	272154	0	260
2020.02.23	1659.600	1689.213	1562.889	1586.023	531218	0	260
2020.03.01	1582.112	1691.979	1575.451	1674.320	521386	0	260
2020.03.08	1696.280	1703.179	1504.669	1529.245	754368	0	260
2020.03.15	1551.879	1575.370	1451.281	1498.718	964650	0	260
2020.03.22	1503.099	1641.800	1482.773	1622.911	389247	0	260
2020.03.29	1625.946	1630.463	1569.183	1615.567	296623	0	624
2020.04.05	1614.340	1689.431	1607.546	1682.944	248754	0	468
2020.04.12	1684.546	1746.579	1679.135	1683.655	474894	0	468
2020.04.19	1682.920	1738.308	1660.127	1727.930	571981	0	468
2020.04.26	1721.139	1726.275	1670.131	1700.028	564910	0	468
2020.05.03	1698.438	1722.819	1681.890	1702.329	455221	0	364
2020.05.10	1702.390	1750.930	1686.864	1741.974	434325	0	364
2020.05.17	1747.558	1764.715	1716.751	1734.060	420511	0	364
2020.05.24	1731.241	1737.277	1693.423	1729.475	372623	0	364
2020.05.31	1734.657	1744.836	1670.510	1685.512	468101	0	364
2020.06.07	1680.835	1744.536	1677.301	1730.552	446515	0	364
2020.06.14	1730.629	1745.142	1703.902	1743.537	430967	0	286
2020.06.21	1747.082	1779.247	1742.326	1771.280	463836	0	286
2020.06.28	1770.599	1789.089	1757.464	1775.703	379552	0	286
2020.07.05	1773.537	1817.833	1769.855	1798.621	404997	0	260
2020.07.12	1799.343	1814.553	1790.404	1809.765	385164	0	286
2020.07.19	1808.109	1906.400	1805.658	1901.143	469314	0	286
2020.07.26	1902.646	1982.318	1902.646	1974.958	616939	0	396
2020.08.02	1982.988	2073.682	1960.418	2034.818	607045	0	300
2020.08.09	2026.671	2049.797	1863.593	1944.376	848448	0	300
2020.08.16	1944.835	2015.390	1911.464	1940.113	746357	0	300
2020.08.23	1936.426	1976.439	1902.613	1964.591	617799	0	300
2020.08.30	1968.915	1992.297	1916.114	1933.518	678622	0	300
2020.09.06	1932.511	1966.486	1906.368	1939.938	487000	0	300
2020.09.13	1937.168	1973.421	1932.831	1950.013	395268	0	300
2020.09.20	1949.641	1955.412	1848.076	1861.155	546012	0	300
2020.09.27	1862.899	1916.982	1848.204	1898.723	467137	0	200
2020.10.04	1903.345	1930.444	1872.690	1930.147	419390	0	300
2020.10.11	1926.646	1933.178	1882.401	1898.825	434204	0	300
2020.10.18	1899.865	1931.281	1893.928	1901.602	397697	0	300
2020.10.25	1901.513	1911.271	1859.815	1878.858	426047	0	300
2020.11.01	1879.301	1960.238	1873.364	1951.855	481414	0	300
2020.11.08	1957.117	1965.419	1850.423	1889.358	479092	0	300
2020.11.15	1887.920	1899.000	1852.547	1870.923	391158	0	300
2020.11.22	1870.778	1875.988	1774.248	1786.899	381526	0	200
2020.11.29	1789.439	1848.052	1764.160	1839.010	414678	0	200
2020.12.06	1836.609	1875.208	1822.532	1839.550	417467	0	300
2020.12.13	1837.111	1896.101	1818.532	1881.271	413401	0	300
2020.12.20	1882.823	1906.667	1854.984	1879.016	372276	0	300
2020.12.27	1888.893	1900.290	1869.025	1894.387	308904	0	300
2021.01.03	1909.308	1959.290	1828.156	1849.370	567030	0	300
2021.01.10	1855.038	1863.726	1816.935	1826.975	507922	0	300
2021.01.17	1827.947	1874.996	1802.438	1855.732	417642	0	300
2021.01.24	1858.206	1875.519	1831.211	1847.839	487029	0	0
2021.01.31	1855.282	1871.716	1784.866	1814.135	518483	0	200
2021.02.07	1817.259	1855.299	1807.705	1824.229	404825	0	300
2021.02.14	1824.898	1826.927	1760.626	1784.049	456530	0	200
2021.02.21	1786.332	1815.906	1717.030	1734.649	633883	0	200
2021.02.28	1737.962	1759.715	1687.180	1700.836	748030	0	200
2021.03.07	1706.301	1739.804	1676.627	1726.749	616483	0	200
2021.03.14	1728.251	1755.478	1719.080	1745.127	586439	0	200
2021.03.21	1743.714	1745.401	1721.448	1732.329	502955	0	200
2021.03.28	1731.377	1732.835	1677.769	1729.750	422948	0	200
2021.04.04	1728.462	1758.645	1721.285	1743.842	492660	0	200
2021.04.11	1742.481	1783.789	1723.591	1776.523	534417	0	200
2021.04.18	1775.640	1797.756	1763.547	1777.023	519617	0	200
2021.04.25	1775.596	1789.896	1755.874	1768.776	518377	0	200
2021.05.02	1767.058	1843.262	1766.046	1830.979	501486	0	200
2021.05.09	1832.896	1845.923	1808.675	1843.486	496370	0	200
2021.05.16	1843.784	1889.986	1843.540	1881.659	451477	0	300
2021.05.23	1880.985	1912.616	1872.613	1903.706	405062	0	300
2021.05.30	1903.805	1916.446	1855.573	1891.138	375954	0	200
2021.06.06	1889.994	1903.673	1869.798	1877.401	383654	0	300
2021.06.13	1876.160	1877.608	1760.860	1764.562	542845	0	200
2021.06.20	1768.728	1794.850	1766.410	1781.361	498814	0	200
2021.06.27	1781.264	1794.983	1750.621	1787.446	489319	0	200
2021.07.04	1787.277	1818.312	1784.426	1808.222	390552	0	200
2021.07.11	1808.049	1834.039	1791.409	1812.007	380973	0	200
2021.07.18	1811.224	1824.880	1789.193	1802.126	381304	0	200
2021.07.25	1802.274	1832.548	1792.394	1813.934	343583	0	200
2021.08.01	1814.431	1831.657	1758.355	1763.819	337145	0	200
2021.08.08	1761.426	1779.901	1686.694	1779.509	534535	0	200
2021.08.15	1779.017	1795.519	1770.840	1781.235	364822	0	200
2021.08.22	1781.378	1819.125	1776.413	1816.778	332627	0	200
2021.08.29	1817.936	1833.859	1801.544	1827.573	298668	0	200
2021.09.05	1828.089	1830.149	1782.300	1787.614	309123	0	200
2021.09.12	1787.288	1808.590	1745.019	1754.536	391981	0	200
2021.09.19	1754.698	1787.164	1737.392	1750.494	445023	0	200
2021.09.26	1750.033	1764.191	1721.571	1760.466	480419	0	200
2021.10.03	1760.954	1781.292	1745.822	1757.212	448821	0	200
2021.10.10	1757.272	1800.406	1750.128	1767.427	390079	0	200
2021.10.17	1766.961	1813.560	1760.276	1792.853	428619	0	200
2021.10.24	1792.926	1810.380	1771.896	1783.296	454182	0	200
2021.10.31	1783.269	1818.269	1758.534	1818.127	458379	0	200
