<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.02.15	00:00:00	1311.891	1313.234	1311.365	1312.480	7168	0	243
2019.02.15	04:00:00	1312.478	1314.930	1311.831	1314.432	7494	0	243
2019.02.15	08:00:00	1314.446	1319.101	1314.242	1318.410	10666	0	241
2019.02.15	12:00:00	1318.387	1319.792	1314.170	1314.458	13291	0	240
2019.02.15	16:00:00	1314.471	1321.808	1314.401	1321.350	10448	0	239
2019.02.15	20:00:00	1321.346	1322.507	1320.867	1321.083	2875	0	242
2019.02.17	20:00:00	1320.975	1321.303	1320.583	1321.084	1460	0	246
2019.02.18	00:00:00	1321.101	1325.246	1320.844	1324.550	7892	0	245
2019.02.18	04:00:00	1324.545	1324.598	1321.684	1321.890	7248	0	243
2019.02.18	08:00:00	1321.885	1325.139	1321.263	1324.845	9016	0	243
2019.02.18	12:00:00	1324.820	1327.572	1324.603	1325.914	9372	0	243
2019.02.18	16:00:00	1325.906	1326.715	1325.497	1326.378	3052	0	245
2019.02.18	20:00:00	1326.278	1326.618	1326.083	1326.386	844	0	249
2019.02.19	00:00:00	1326.386	1326.495	1324.125	1324.770	6823	0	244
2019.02.19	04:00:00	1324.775	1325.945	1322.820	1325.842	7600	0	244
2019.02.19	08:00:00	1325.834	1330.373	1325.509	1328.846	11402	0	243
2019.02.19	12:00:00	1328.818	1339.295	1328.574	1338.209	12076	0	241
2019.02.19	16:00:00	1338.169	1341.724	1336.049	1339.868	11700	0	241
2019.02.19	20:00:00	1339.850	1341.253	1339.352	1339.516	4929	0	241
2019.02.20	00:00:00	1339.516	1346.657	1339.320	1344.049	9212	0	240
2019.02.20	04:00:00	1344.053	1344.060	1341.291	1342.468	8407	0	238
2019.02.20	08:00:00	1342.511	1345.301	1341.560	1343.644	10855	0	238
2019.02.20	12:00:00	1343.620	1345.767	1342.125	1344.751	12282	0	237
2019.02.20	16:00:00	1344.748	1346.241	1336.863	1341.056	12934	0	235
2019.02.20	20:00:00	1341.057	1341.685	1337.484	1340.575	5542	0	233
2019.02.21	00:00:00	1340.573	1341.444	1337.433	1339.875	8925	0	232
2019.02.21	04:00:00	1339.877	1340.807	1337.464	1338.912	9343	0	230
2019.02.21	08:00:00	1338.943	1340.263	1332.016	1333.863	12467	0	226
2019.02.21	12:00:00	1333.865	1337.126	1330.010	1332.101	13542	0	224
2019.02.21	16:00:00	1332.088	1332.094	1324.106	1326.499	12175	0	222
2019.02.21	20:00:00	1326.483	1326.515	1320.910	1325.818	5880	0	221
2019.02.22	00:00:00	1325.818	1326.427	1324.081	1325.324	8282	0	220
2019.02.22	04:00:00	1325.325	1326.583	1324.485	1326.376	7478	0	220
2019.02.22	08:00:00	1326.378	1326.914	1321.512	1323.085	11155	0	218
2019.02.22	12:00:00	1323.078	1330.644	1322.203	1329.265	13110	0	217
2019.02.22	16:00:00	1329.287	1333.047	1327.657	1327.727	11378	0	216
2019.02.22	20:00:00	1327.735	1328.648	1327.204	1327.794	3295	0	214
2019.02.24	20:00:00	1327.607	1328.511	1327.511	1327.710	1341	0	218
2019.02.25	00:00:00	1327.717	1331.778	1327.544	1331.294	8619	0	215
2019.02.25	04:00:00	1331.283	1331.854	1329.046	1330.326	7910	0	214
2019.02.25	08:00:00	1330.321	1331.070	1327.802	1330.471	10658	0	215
2019.02.25	12:00:00	1330.481	1332.513	1325.132	1329.290	12888	0	212
2019.02.25	16:00:00	1329.283	1329.336	1325.555	1328.003	11029	0	210
2019.02.25	20:00:00	1328.039	1328.312	1326.596	1327.498	4202	0	210
2019.02.26	00:00:00	1327.502	1330.145	1326.645	1329.056	7771	0	209
2019.02.26	04:00:00	1329.059	1329.634	1324.641	1324.903	7906	0	209
2019.02.26	08:00:00	1324.944	1327.418	1324.477	1325.109	10467	0	207
2019.02.26	12:00:00	1325.104	1327.723	1323.487	1327.252	13285	0	206
2019.02.26	16:00:00	1327.205	1329.488	1324.928	1329.290	11150	0	204
2019.02.26	20:00:00	1329.302	1329.395	1328.264	1329.220	4273	0	205
2019.02.27	00:00:00	1329.212	1329.852	1327.043	1327.214	4256	0	206
2019.02.27	04:00:00	1327.224	1328.266	1326.394	1326.722	8348	0	202
2019.02.27	08:00:00	1326.740	1328.123	1325.677	1327.003	10465	0	201
2019.02.27	12:00:00	1326.971	1328.778	1322.086	1323.491	13312	0	199
2019.02.27	16:00:00	1323.485	1323.829	1316.911	1319.060	11772	0	197
2019.02.27	20:00:00	1319.039	1321.276	1318.960	1321.107	4642	0	198
2019.02.28	00:00:00	1321.086	1321.230	1317.232	1318.865	7510	0	198
2019.02.28	04:00:00	1318.856	1322.940	1318.167	1321.877	7656	0	196
2019.02.28	08:00:00	1321.879	1327.241	1321.758	1325.941	11447	0	195
2019.02.28	12:00:00	1325.940	1326.992	1312.982	1315.331	14753	0	192
2019.02.28	16:00:00	1315.366	1316.559	1313.329	1313.669	11113	0	191
2019.02.28	20:00:00	1313.655	1314.500	1312.565	1314.180	4680	0	192
2019.03.01	00:00:00	1314.180	1315.118	1312.091	1313.171	7755	0	242
2019.03.01	04:00:00	1313.135	1313.467	1308.320	1308.935	7872	0	239
2019.03.01	08:00:00	1308.919	1310.570	1306.118	1308.765	11032	0	238
2019.03.01	12:00:00	1308.779	1312.051	1304.233	1305.525	13911	0	236
2019.03.01	16:00:00	1305.550	1305.753	1292.118	1293.315	13548	0	233
2019.03.01	20:00:00	1293.273	1293.843	1290.161	1293.279	4517	0	233
2019.03.03	20:00:00	1295.386	1296.153	1295.016	1295.190	1688	0	232
2019.03.04	00:00:00	1295.206	1297.002	1293.500	1296.640	7993	0	229
2019.03.04	04:00:00	1296.645	1296.808	1291.272	1291.281	8434	0	229
2019.03.04	08:00:00	1291.269	1291.981	1285.070	1286.171	10774	0	226
2019.03.04	12:00:00	1286.170	1289.434	1282.833	1285.532	13673	0	226
2019.03.04	16:00:00	1285.557	1289.720	1285.557	1287.053	11623	0	221
2019.03.04	20:00:00	1287.053	1287.648	1286.103	1287.066	4578	0	221
2019.03.05	00:00:00	1287.065	1289.509	1285.577	1288.219	8303	0	221
2019.03.05	04:00:00	1288.255	1288.937	1284.454	1285.055	8282	0	220
2019.03.05	08:00:00	1285.053	1286.526	1283.483	1285.853	10830	0	217
2019.03.05	12:00:00	1285.853	1287.700	1281.209	1284.179	13447	0	217
2019.03.05	16:00:00	1284.170	1286.919	1282.472	1286.673	10667	0	215
2019.03.05	20:00:00	1286.703	1288.283	1286.690	1287.907	4304	0	216
2019.03.06	00:00:00	1287.909	1289.318	1285.951	1287.124	8444	0	214
2019.03.06	04:00:00	1287.098	1290.858	1286.409	1289.124	8379	0	213
2019.03.06	08:00:00	1289.128	1289.363	1284.896	1285.554	10167	0	211
2019.03.06	12:00:00	1285.539	1288.467	1283.601	1286.171	13413	0	209
2019.03.06	16:00:00	1286.172	1287.604	1285.045	1285.840	10470	0	208
2019.03.06	20:00:00	1285.838	1287.550	1285.513	1287.071	4420	0	208
2019.03.07	00:00:00	1287.096	1288.428	1286.384	1286.593	7419	0	209
2019.03.07	04:00:00	1286.588	1286.801	1283.738	1284.322	7879	0	206
2019.03.07	08:00:00	1284.360	1287.441	1280.832	1286.539	10018	0	205
2019.03.07	12:00:00	1286.562	1288.961	1282.812	1286.706	14268	0	203
2019.03.07	16:00:00	1286.743	1287.395	1284.244	1285.571	11501	0	202
2019.03.07	20:00:00	1285.557	1286.614	1285.026	1285.953	4582	0	202
2019.03.08	00:00:00	1285.971	1287.565	1285.198	1287.151	7936	0	202
2019.03.08	04:00:00	1287.150	1294.553	1286.762	1293.800	9654	0	202
2019.03.08	08:00:00	1293.814	1295.734	1292.296	1293.182	10469	0	199
2019.03.08	12:00:00	1293.182	1300.681	1291.505	1296.934	15438	0	199
2019.03.08	16:00:00	1296.915	1300.060	1296.891	1299.311	11531	0	198
2019.03.08	20:00:00	1299.319	1300.587	1298.113	1298.274	3767	0	198
2019.03.10	20:00:00	1296.869	1297.359	1296.613	1297.210	1290	0	241
2019.03.11	00:00:00	1297.214	1298.323	1295.645	1297.216	7829	0	239
2019.03.11	04:00:00	1297.230	1299.054	1295.490	1296.349	7605	0	239
2019.03.11	08:00:00	1296.400	1297.613	1294.121	1294.865	9532	0	236
2019.03.11	12:00:00	1294.864	1296.891	1290.960	1292.817	11359	0	234
2019.03.11	16:00:00	1292.856	1293.769	1290.453	1293.767	9390	0	233
2019.03.11	20:00:00	1293.755	1293.846	1292.015	1292.538	2385	0	234
2019.03.12	00:00:00	1292.576	1296.875	1292.422	1296.155	7722	0	233
2019.03.12	04:00:00	1296.172	1297.375	1294.351	1294.609	7640	0	232
2019.03.12	08:00:00	1294.612	1297.812	1294.453	1296.253	10500	0	230
2019.03.12	12:00:00	1296.253	1299.547	1295.532	1296.966	12078	0	228
2019.03.12	16:00:00	1297.000	1302.114	1296.812	1301.577	9721	0	227
2019.03.12	20:00:00	1301.598	1302.055	1300.873	1301.879	2743	0	229
2019.03.13	00:00:00	1301.908	1305.726	1301.674	1304.867	7964	0	226
2019.03.13	04:00:00	1304.869	1305.352	1303.685	1304.264	7286	0	225
2019.03.13	08:00:00	1304.249	1309.092	1303.891	1307.591	9791	0	225
2019.03.13	12:00:00	1307.578	1309.327	1305.947	1307.849	11996	0	223
2019.03.13	16:00:00	1307.892	1311.195	1307.339	1310.660	9951	0	224
2019.03.13	20:00:00	1310.660	1310.944	1309.050	1309.352	2657	0	241
2019.03.14	00:00:00	1309.353	1309.757	1304.103	1304.197	7629	0	239
2019.03.14	04:00:00	1304.194	1304.557	1301.625	1302.236	8323	0	235
2019.03.14	08:00:00	1302.255	1303.052	1295.881	1297.321	11165	0	234
2019.03.14	12:00:00	1297.320	1298.875	1292.842	1295.490	12491	0	232
2019.03.14	16:00:00	1295.507	1297.040	1293.206	1295.854	9875	0	232
2019.03.14	20:00:00	1295.876	1296.685	1295.706	1296.080	2987	0	234
2019.03.15	00:00:00	1296.081	1299.891	1293.963	1298.089	8251	0	230
2019.03.15	04:00:00	1298.091	1303.753	1297.070	1303.484	8277	0	230
2019.03.15	08:00:00	1303.520	1304.381	1301.460	1304.113	9950	0	229
2019.03.15	12:00:00	1304.107	1306.327	1300.679	1301.852	12567	0	227
2019.03.15	16:00:00	1301.844	1303.149	1301.321	1301.841	9103	0	225
2019.03.15	20:00:00	1301.840	1302.455	1301.363	1302.208	1031	0	229
2019.03.17	20:00:00	1302.109	1302.301	1300.568	1300.579	2298	0	234
2019.03.18	00:00:00	1300.586	1300.815	1298.185	1299.059	7653	0	231
2019.03.18	04:00:00	1299.061	1304.064	1298.491	1304.008	7552	0	232
2019.03.18	08:00:00	1304.009	1306.036	1303.265	1304.406	9384	0	230
2019.03.18	12:00:00	1304.391	1306.640	1303.368	1304.113	11409	0	230
2019.03.18	16:00:00	1304.113	1304.883	1301.022	1302.713	8705	0	229
2019.03.18	20:00:00	1302.725	1303.893	1302.324	1303.442	3211	0	230
2019.03.19	00:00:00	1303.445	1307.700	1303.414	1307.493	7243	0	229
2019.03.19	04:00:00	1307.492	1307.808	1303.787	1304.590	7737	0	226
2019.03.19	08:00:00	1304.571	1308.852	1303.713	1308.038	9811	0	224
2019.03.19	12:00:00	1308.056	1310.827	1306.802	1307.567	11445	0	226
2019.03.19	16:00:00	1307.610	1308.022	1305.864	1306.397	8877	0	223
2019.03.19	20:00:00	1306.394	1306.989	1305.066	1306.199	3363	0	225
2019.03.20	00:00:00	1306.189	1306.794	1303.712	1304.823	6961	0	220
2019.03.20	04:00:00	1304.831	1306.513	1302.382	1303.341	6929	0	220
2019.03.20	08:00:00	1303.343	1305.283	1301.631	1304.798	10018	0	219
2019.03.20	12:00:00	1304.794	1309.584	1298.671	1300.539	12687	0	220
2019.03.20	16:00:00	1300.539	1316.902	1299.731	1314.314	14872	0	221
2019.03.20	20:00:00	1314.300	1315.593	1312.207	1315.391	4866	0	241
2019.03.21	00:00:00	1315.392	1318.989	1314.427	1318.659	8477	0	239
2019.03.21	04:00:00	1318.659	1320.305	1317.324	1318.868	8131	0	238
2019.03.21	08:00:00	1318.908	1319.436	1314.266	1315.312	10956	0	236
2019.03.21	12:00:00	1315.311	1318.477	1308.658	1310.477	13291	0	233
2019.03.21	16:00:00	1310.466	1311.001	1303.262	1309.237	11429	0	230
2019.03.21	20:00:00	1309.242	1309.451	1308.553	1308.571	3140	0	231
2019.03.22	00:00:00	1308.575	1310.287	1306.820	1309.080	7660	0	229
2019.03.22	04:00:00	1309.078	1312.983	1307.363	1312.519	7692	0	230
2019.03.22	08:00:00	1312.537	1313.753	1309.387	1312.593	12326	0	227
2019.03.22	12:00:00	1312.596	1314.894	1309.665	1313.237	14056	0	224
2019.03.22	16:00:00	1313.236	1313.533	1311.132	1312.417	10856	0	222
2019.03.22	20:00:00	1312.412	1313.554	1312.403	1313.223	991	0	225
2019.03.24	20:00:00	1313.470	1313.771	1311.644	1311.644	2419	0	226
2019.03.25	00:00:00	1311.608	1315.775	1310.994	1315.330	7385	0	223
2019.03.25	04:00:00	1315.330	1317.773	1314.952	1317.003	6901	0	224
2019.03.25	08:00:00	1317.005	1318.994	1316.091	1317.835	10210	0	222
