<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.09.01	1309.577	1352.408	1302.388	1315.103	1624209	0	0
2016.10.01	1317.160	1319.453	1241.320	1275.998	1378513	0	0
2016.11.01	1275.995	1337.126	1170.218	1172.232	2011944	0	0
2016.12.01	1172.235	1187.832	1122.548	1150.787	1475226	0	0
2017.01.01	1150.029	1219.775	1145.948	1211.525	1518029	0	0
2017.02.01	1211.475	1263.771	1198.080	1247.560	1661144	0	0
2017.03.01	1247.650	1260.968	1194.976	1248.434	1884860	0	0
2017.04.01	1249.381	1295.426	1243.716	1270.646	1586824	0	0
2017.05.01	1270.649	1274.031	1214.228	1268.664	1743919	0	0
2017.06.01	1268.663	1295.975	1234.913	1240.660	1710289	0	150
2017.07.01	1241.610	1270.793	1204.698	1267.473	1617253	0	150
2017.08.01	1267.478	1325.918	1251.407	1321.203	1892462	0	150
2017.09.01	1321.204	1357.412	1275.270	1279.153	1765465	0	150
2017.10.01	1277.757	1305.994	1260.595	1269.920	1832451	0	150
2017.11.01	1269.935	1299.133	1265.391	1274.904	1882777	0	150
2017.12.01	1274.908	1307.502	1236.445	1302.632	1627677	0	150
2018.01.01	1307.421	1366.009	1305.757	1343.184	1926695	0	150
2018.02.01	1344.940	1361.690	1307.040	1317.365	1757451	0	150
2018.03.01	1317.330	1356.789	1302.773	1325.100	1807680	0	150
2018.04.01	1326.210	1365.089	1310.252	1315.127	1647898	0	150
2018.05.01	1315.090	1325.873	1282.056	1299.390	1697886	0	150
2018.06.01	1299.377	1309.231	1245.910	1252.533	1548980	0	150
2018.07.01	1253.020	1265.847	1211.435	1223.896	1628435	0	150
2018.08.01	1223.900	1224.683	1160.182	1200.848	1685118	0	150
2018.09.01	1199.640	1212.615	1180.744	1190.872	1437075	0	150
2018.10.01	1190.877	1243.354	1182.418	1216.016	1546815	0	150
2018.11.01	1216.016	1237.330	1196.294	1222.016	1255130	0	160
2018.12.01	1223.023	1284.009	1221.280	1282.507	1142154	0	195
2019.01.01	1281.143	1326.176	1276.643	1321.024	1247353	0	182
2019.02.01	1321.026	1346.657	1302.365	1314.180	1075384	0	178
2019.03.01	1314.180	1324.425	1280.832	1291.714	1133575	0	198
2019.04.01	1291.725	1310.529	1266.285	1283.142	994187	0	0
2019.05.01	1283.119	1306.834	1266.240	1305.484	1092951	0	217
2019.06.01	1306.676	1439.001	1306.440	1392.085	1283946	0	236
2019.07.01	1392.040	1452.884	1381.774	1412.164	1412268	0	260
2019.08.01	1412.168	1554.998	1400.490	1520.228	1540732	0	260
2019.09.01	1529.614	1556.943	1464.466	1473.569	1384681	0	260
2019.10.01	1473.577	1519.490	1459.052	1512.171	1441595	0	260
2019.11.01	1512.182	1515.894	1445.578	1463.914	1142667	0	260
2019.12.01	1462.603	1525.185	1453.917	1522.657	1041997	0	260
2020.01.01	1518.464	1611.365	1517.172	1588.804	1361593	0	260
2020.02.01	1588.544	1689.213	1547.479	1586.023	1364985	0	260
2020.03.01	1582.112	1703.179	1451.281	1578.851	2744526	0	260
2020.04.01	1578.950	1746.579	1571.348	1687.709	1912915	0	468
